“thread”
100,100,0,0,20.805799,0.208058,1.138711,7.389856,0.073899,0.142172,1.148102
200,200,0,0,283.569739,1.417849,7.175827,12.771042,0.063855,0.157867,7.218165
300,300,0,0,287.219962,0.957400,7.118566,42.084675,0.140282,0.278069,7.152754
400,400,0,0,458.577375,1.146443,7.330856,30.666215,0.076666,0.241344,7.352031
500,500,0,0,363.474920,0.726950,3.358119,78.099333,0.156199,0.376255,3.376648
600,600,0,0,598.492837,0.997488,3.534718,53.198505,0.088664,0.258094,3.574347
700,700,0,0,621.523535,0.887891,7.432514,222.712969,0.318161,0.708242,7.444756
800,800,0,0,1507.605731,1.884507,15.242541,236.947463,0.296184,0.730066,15.267278
900,900,0,0,2052.269329,2.280299,15.300290,315.775519,0.350862,0.848050,15.355436
1000,1000,11,0,1665.162602,1.665163,15.386917,435.534889,0.435535,1.061802,19.646496
