“thread”
100,100,0,0,5.447725,0.054477,0.075823,0.680371,0.006804,0.023635,0.950857
200,200,0,0,81.956068,0.409780,1.136473,1.726295,0.008631,0.078826,2.261860
300,300,0,0,419.298035,1.397660,3.208131,3.157950,0.010527,0.046256,4.114924
400,400,0,0,1310.058484,3.275146,7.265233,5.348105,0.013370,0.114229,8.617563
500,500,0,0,3163.503855,6.327008,15.284817,7.941242,0.015882,0.107045,16.453331
600,600,0,0,6211.845753,10.353076,31.877407,11.092517,0.018488,0.097123,32.636277
700,700,0,0,11177.141757,15.967345,34.766081,14.641516,0.020916,0.079471,35.351107
800,800,0,0,16730.916184,20.913645,38.960108,21.534876,0.026919,0.258145,40.204049
900,900,0,0,20798.515246,23.109461,47.000399,23.377393,0.025975,0.223328,47.671732
1000,1000,0,0,26567.195500,26.567196,64.660569,26.888347,0.026888,0.237078,65.222698
