“thread”
100,100,0,0,33.189694,0.331897,1.061880,5.880751,0.058808,0.113499,1.107882
200,200,0,0,125.865089,0.629325,3.042942,12.051255,0.060256,0.159710,3.090914
300,300,0,0,143.785696,0.479286,3.169904,30.730754,0.102436,0.232764,3.187033
400,400,0,0,232.112393,0.580281,3.110653,26.272738,0.065682,0.180078,3.132401
500,500,0,0,329.153811,0.658308,3.487576,29.264464,0.058529,0.201648,3.505301
600,600,0,0,450.160227,0.750267,3.446020,39.593261,0.065989,0.227993,3.481358
700,700,0,0,444.792653,0.635418,1.882665,67.373191,0.096247,0.346271,1.904201
800,800,0,0,588.307238,0.735384,2.031764,76.552981,0.095691,0.383535,2.053693
900,900,1,0,880.864967,0.978739,3.287205,109.453354,0.121615,0.494422,3.301313
1000,1000,18,0,2051.284107,2.051284,6.470456,163.576126,0.163576,0.918491,6.485305
