“thread”
100,100,0,0,6.601439,0.066014,0.092490,0.793594,0.007936,0.053182,1.046182
200,200,0,0,82.604659,0.413023,1.145845,1.849489,0.009247,0.115674,2.309648
300,300,0,0,405.385840,1.351286,3.226698,3.106220,0.010354,0.057657,4.154468
400,400,0,0,1223.845790,3.059614,7.253301,4.990983,0.012477,0.089572,8.333185
500,500,0,0,2895.313632,5.790627,15.237026,7.492610,0.014985,0.124242,16.228440
600,600,0,0,6044.139495,10.073566,31.944884,10.214244,0.017024,0.094114,32.664284
700,700,0,0,10722.964500,15.318521,34.713562,13.468534,0.019241,0.124192,34.989456
800,800,0,0,14207.524437,17.759406,38.745758,17.506331,0.021883,0.138517,38.825721
900,900,0,0,20216.308256,22.462565,46.777468,21.217586,0.023575,0.170256,47.397695
1000,1000,0,0,27090.946249,27.090946,64.428521,25.527073,0.025527,0.202882,64.920354
